,상권코드,분기,상권구분,상권명,아파트수,아파트평균가격
0,1001495,1,관광특구,잠실 관광특구,22,527347107
1,1001494,1,관광특구,종로?청계 관광특구,5,112097903
2,1001493,1,관광특구,동대문패션타운 관광특구,8,237967427
3,1001491,1,관광특구,이태원 관광특구,71,409473123
4,1001490,1,전통시장,길동복조리시장,37,183067389
5,1001489,1,전통시장,둔촌역전통시장,8,195748977
6,1001488,1,전통시장,성내골목시장,11,148468044
7,1001486,1,전통시장,동서울시장,1,176000000
8,1001485,1,전통시장,고분다리골목시장,2,156107143
9,1001484,1,전통시장,양지골목시장,17,181813715
10,1001483,1,전통시장,암사종합시장,18,143664435
11,1001482,1,전통시장,고덕전통시장,1,155000000
12,1001481,1,전통시장,명일골목시장,4,223508784
13,1001480,1,전통시장,새마을시장,44,209797797
14,1001479,1,전통시장,석촌시장,13,233575425
15,1001478,1,전통시장,방이시장,174,205632867
16,1001477,1,전통시장,마천시장,6,195932239
17,1001476,1,전통시장,풍납시장,20,153329405
18,1001474,1,전통시장,도곡시장,1,639223684
19,1001472,1,전통시장,논현종합시장,3,512515152
20,1001471,1,전통시장,영동전통시장,18,226552606
21,1001470,1,전통시장,강남시장_강남,1,359478723
22,1001469,1,전통시장,양재시장,2,185226190
23,1001468,1,전통시장,남부종합시장,3,299250000
24,1001466,1,전통시장,미성동도깨비시장,3,179668193
25,1001463,1,전통시장,신림중앙시장,3,184383476
26,1001462,1,전통시장,강남골목시장,5,145078889
27,1001460,1,전통시장,관악신사시장,25,170190594
28,1001459,1,전통시장,신원시장,4,164801389
29,1001458,1,전통시장,인헌시장,10,154501044
30,1001457,1,전통시장,봉천중앙시장,4,177340278
31,1001454,1,전통시장,봉천제일종합시장,2,168357143
32,1001453,1,전통시장,낙성대시장,6,123503739
33,1001452,1,전통시장,중부시장,4,187520635
34,1001450,1,전통시장,남성역골목시장,4,178875000
35,1001449,1,전통시장,남성사계시장,1,137875000
36,1001448,1,전통시장,흑석시장,2,416694996
37,1001447,1,전통시장,상도4동도깨비골목시장,17,155765640
38,1001446,1,전통시장,성대시장,2,160357143
39,1001444,1,전통시장,상도전통시장,18,181107554
40,1001443,1,전통시장,강남시장_동작,1,71085714
41,1001441,1,전통시장,본동인정시장,1,525000000
42,1001440,1,전통시장,노량진중앙시장,1,299142857
43,1001439,1,전통시장,대림중앙시장,3,121966667
44,1001437,1,전통시장,영진시장A동,1,585308360
45,1001435,1,전통시장,대신시장,1,178866546
46,1001433,1,전통시장,영일시장,3,264567730
47,1001431,1,전통시장,영등포청과시장,3,183000000
48,1001430,1,전통시장,영등포전통시장,4,154166369
49,1001429,1,전통시장,은행나무시장,8,146750000
50,1001428,1,전통시장,박미시장,3,148171296
51,1001427,1,전통시장,현대시장,18,133887709
52,1001425,1,전통시장,푸른터시장,2,205074278
53,1001424,1,전통시장,남문시장,24,140069530
54,1001421,1,전통시장,개봉중앙시장,14,133701577
55,1001420,1,전통시장,고척근린시장,2,135912618
56,1001419,1,전통시장,가리봉시장,2,817000000
57,1001418,1,전통시장,남구로시장,11,93859848
58,1001417,1,전통시장,구로시장,1,113555556
59,1001415,1,전통시장,방신전통시장,2,239418555
60,1001414,1,전통시장,송화골목시장,8,140120196
61,1001413,1,전통시장,까치산시장,29,133673421
62,1001412,1,전통시장,화곡본동시장,12,120212126
63,1001411,1,전통시장,남부골목시장,28,143394086
64,1001409,1,전통시장,화곡중앙골목시장,26,113747772
65,1001405,1,전통시장,신정2동골목시장,4,207772556
66,1001403,1,전통시장,신월7동골목시장,3,130690000
67,1001400,1,전통시장,신월3동골목시장,1,61833333
68,1001399,1,전통시장,경창시장,5,152726642
69,1001398,1,전통시장,월정로시장,24,109753584
70,1001397,1,전통시장,신영시장,13,115788199
71,1001396,1,전통시장,목4동시장,24,171280260
72,1001395,1,전통시장,목3동시장,13,185909130
73,1001394,1,전통시장,목2동시장,21,170220147
74,1001391,1,전통시장,망원월드컵시장,24,173992934
75,1001390,1,전통시장,망원시장,50,194819930
76,1001389,1,전통시장,합정시장,1,266275000
77,1001388,1,전통시장,영진시장,3,228298958
78,1001386,1,전통시장,신수시장,2,194535714
79,1001385,1,전통시장,아현시장,3,211638889
80,1001382,1,전통시장,백련시장,1,160031250
81,1001381,1,전통시장,모래내시장,11,242563004
82,1001380,1,전통시장,포방터시장,7,112071769
83,1001379,1,전통시장,인왕시장,1,183325000
84,1001377,1,전통시장,영천시장,3,112050794
85,1001375,1,전통시장,증산종합시장,3,147498611
86,1001374,1,전통시장,대림골목시장,8,124840625
87,1001373,1,전통시장,신응암시장,2,205500000
88,1001371,1,전통시장,대조시장,16,134893284
89,1001368,1,전통시장,연서시장,1,316376812
90,1001367,1,전통시장,상계중앙시장,20,135646240
91,1001365,1,전통시장,공릉동도깨비시장,23,146987162
92,1001364,1,전통시장,방학동도깨비시장,11,91337973
93,1001363,1,전통시장,쌍문역골목시장,6,121724537
94,1001362,1,전통시장,백운시장,8,116112580
95,1001361,1,전통시장,신도봉시장,3,73560714
96,1001360,1,전통시장,창동골목시장,8,119664583
97,1001359,1,전통시장,창동신창시장,47,136439056
98,1001358,1,전통시장,수유북부시장,1,148000000
99,1001357,1,전통시장,장미원골목시장,40,138173425
100,1001356,1,전통시장,수유중앙시장,2,108750000
101,1001355,1,전통시장,강북종합시장,7,122968074
102,1001354,1,전통시장,우이시장,36,116487876
103,1001353,1,전통시장,수유전통시장,3,157212176
104,1001352,1,전통시장,번동북부골목시장,8,169478765
105,1001350,1,전통시장,숭인시장,2,155484375
106,1001349,1,전통시장,방천골목시장,4,141642045
107,1001347,1,전통시장,석관황금시장,5,155293333
108,1001345,1,전통시장,새석관시장,1,22819512
109,1001343,1,전통시장,장위전통시장,5,167111111
110,1001342,1,전통시장,밤나무골시장,2,71711538
111,1001340,1,전통시장,정릉시장,30,155465885
112,1001339,1,전통시장,정릉아리랑시장,9,192902888
113,1001337,1,전통시장,유영시장,2,180075000
114,1001336,1,전통시장,우림골목시장,19,130929772
115,1001335,1,전통시장,묵1동도깨비시장,17,130566556
116,1001334,1,전통시장,태능시장,4,175721752
117,1001333,1,전통시장,중화제일시장,16,143519028
118,1001332,1,전통시장,사가정시장,11,163307651
119,1001331,1,전통시장,면목골목시장,15,148010317
120,1001330,1,전통시장,동원시장,21,142400772
121,1001329,1,전통시장,동부골목시장,20,131474045
122,1001328,1,전통시장,이문제일시장,1,215833333
123,1001327,1,전통시장,이경시장,2,202500000
124,1001326,1,전통시장,회기시장,6,132069521
125,1001324,1,전통시장,전곡시장,4,201350000
126,1001323,1,전통시장,답십리시장,2,139476190
127,1001317,1,전통시장,청량리농수산물시장,2,201325000
128,1001316,1,전통시장,서울약령시장,3,146845455
129,1001313,1,전통시장,청량리수산시장,1,176000000
130,1001310,1,전통시장,구의시장,3,201400000
131,1001309,1,전통시장,조양시장,3,93491841
132,1001308,1,전통시장,영동교골목시장,9,209838921
133,1001306,1,전통시장,노룬산골목시장,1,108000000
134,1001305,1,전통시장,자양종합시장,1,256300000
135,1001304,1,전통시장,자양골목시장,35,183757675
136,1001303,1,전통시장,신성골목시장,1,108000000
137,1001302,1,전통시장,면곡골목시장,4,148435714
138,1001301,1,전통시장,중곡제일시장,5,199593312
139,1001300,1,전통시장,화양제일골목시장,9,114672531
140,1001298,1,전통시장,성동용답상가시장,11,152917659
141,1001297,1,전통시장,뚝도시장,1,267217949
142,1001296,1,전통시장,금남시장,1,222000000
143,1001295,1,전통시장,행당시장,1,149444444
144,1001294,1,전통시장,마장축산물시장,2,401196800
145,1001292,1,전통시장,이태원제일시장,2,230000000
146,1001290,1,전통시장,이촌종합시장,4,284337500
147,1001289,1,전통시장,용문전통시장,2,90254630
148,1001286,1,전통시장,후암시장,2,210900862
149,1001284,1,전통시장,서울중앙시장,1,119111111
150,1001283,1,전통시장,백학시장,6,179247024
151,1001282,1,전통시장,약수시장,15,173387878
152,1001279,1,전통시장,동평화시장,1,151137931
153,1001277,1,전통시장,방산종합시장,1,67500000
154,1001271,1,전통시장,동묘시장,5,111891667
155,1001269,1,전통시장,동문시장,1,83826923
156,1001264,1,전통시장,통인시장,6,270670393
157,1001263,1,발달상권,서울 노원구 노원역_3,1,84714286
158,1001260,1,발달상권,창동역,1,75675000
159,1001259,1,발달상권,서울 강북구 수유역_3,4,123554067
160,1001257,1,발달상권,서울 강북구 수유역_2,21,149208483
161,1001256,1,발달상권,서울 강북구 수유역_1,8,119078853
162,1001255,1,발달상권,서울 은평구 연신내역_3,1,42210526
163,1001254,1,발달상권,서울 은평구 연신내역_2,9,94142927
164,1001253,1,발달상권,서울 은평구 연신내역_1,4,155201291
