,행정동코드,시군구명,행정동명
1,11110530,종로구,사직동
2,11110540,종로구,삼청동
3,11110550,종로구,부암동
4,11110560,종로구,평창동
5,11110570,종로구,무악동
6,11110580,종로구,교남동
7,11110600,종로구,가회동
8,11110615,종로구,종로1.2.3.4가동
9,11110630,종로구,종로5.6가동
10,11110640,종로구,이화동
11,11110670,종로구,창신1동
12,11110680,종로구,창신2동
13,11110690,종로구,창신3동
14,11110700,종로구,숭인1동
15,11110710,종로구,숭인2동
16,11110515,종로구,청운효자동
17,11110650,종로구,혜화동
18,11140520,중구,소공동
19,11140540,중구,회현동
20,11140550,중구,명동
21,11140570,중구,필동
22,11140580,중구,장충동
23,11140590,중구,광희동
24,11140605,중구,을지로동
25,11140650,중구,신당5동
26,11140670,중구,황학동
27,11140680,중구,중림동
28,11140615,중구,신당동
29,11140625,중구,다산동
30,11140635,중구,약수동
31,11140645,중구,청구동
32,11140665,중구,동화동
33,11170510,용산구,후암동
34,11170520,용산구,용산2가동
35,11170530,용산구,남영동
36,11170570,용산구,원효로2동
37,11170580,용산구,효창동
38,11170590,용산구,용문동
39,11170630,용산구,이촌1동
40,11170640,용산구,이촌2동
41,11170650,용산구,이태원1동
42,11170660,용산구,이태원2동
43,11170690,용산구,서빙고동
44,11170700,용산구,보광동
45,11170555,용산구,청파동
46,11170560,용산구,원효로1동
47,11170625,용산구,한강로동
48,11170685,용산구,한남동
49,11200520,성동구,왕십리2동
50,11200540,성동구,마장동
51,11200550,성동구,사근동
52,11200560,성동구,행당1동
53,11200570,성동구,행당2동
54,11200580,성동구,응봉동
55,11200590,성동구,금호1가동
56,11200620,성동구,금호4가동
57,11200650,성동구,성수1가1동
58,11200660,성동구,성수1가2동
59,11200670,성동구,성수2가1동
60,11200690,성동구,성수2가3동
61,11200720,성동구,송정동
62,11200790,성동구,용답동
63,11200535,성동구,왕십리도선동
64,11200615,성동구,금호2.3가동
65,11200645,성동구,옥수동
66,11215710,광진구,화양동
67,11215730,광진구,군자동
68,11215740,광진구,중곡1동
69,11215750,광진구,중곡2동
70,11215760,광진구,중곡3동
71,11215770,광진구,중곡4동
72,11215780,광진구,능동
73,11215850,광진구,구의1동
74,11215860,광진구,구의2동
75,11215870,광진구,구의3동
76,11215810,광진구,광장동
77,11215820,광진구,자양1동
78,11215830,광진구,자양2동
79,11215840,광진구,자양3동
80,11215847,광진구,자양4동
81,11230710,동대문구,회기동
82,11230720,동대문구,휘경1동
83,11230730,동대문구,휘경2동
84,11230705,동대문구,청량리동
85,11230536,동대문구,용신동
86,11230545,동대문구,제기동
87,11230560,동대문구,전농1동
88,11230570,동대문구,전농2동
89,11230610,동대문구,답십리2동
90,11230650,동대문구,장안1동
91,11230660,동대문구,장안2동
92,11230740,동대문구,이문1동
93,11230750,동대문구,이문2동
94,11230600,동대문구,답십리1동
95,11260520,중랑구,면목2동
96,11260540,중랑구,면목4동
97,11260550,중랑구,면목5동
98,11260570,중랑구,면목7동
99,11260580,중랑구,상봉1동
100,11260590,중랑구,상봉2동
101,11260600,중랑구,중화1동
102,11260610,중랑구,중화2동
103,11260620,중랑구,묵1동
104,11260630,중랑구,묵2동
105,11260660,중랑구,망우3동
106,11260680,중랑구,신내1동
107,11260690,중랑구,신내2동
108,11260565,중랑구,면목본동
109,11260575,중랑구,면목3.8동
110,11260655,중랑구,망우본동
111,11290580,성북구,돈암1동
112,11290590,성북구,돈암2동
113,11290600,성북구,안암동
114,11290610,성북구,보문동
115,11290620,성북구,정릉1동
116,11290630,성북구,정릉2동
117,11290640,성북구,정릉3동
118,11290650,성북구,정릉4동
119,11290660,성북구,길음1동
120,11290685,성북구,길음2동
121,11290715,성북구,월곡1동
122,11290725,성북구,월곡2동
123,11290760,성북구,장위1동
124,11290770,성북구,장위2동
125,11290780,성북구,장위3동
126,11290525,성북구,성북동
127,11290555,성북구,삼선동
128,11290575,성북구,동선동
129,11290705,성북구,종암동
130,11290810,성북구,석관동
131,11305590,강북구,번1동
132,11305600,강북구,번2동
133,11305606,강북구,번3동
134,11305610,강북구,수유1동
135,11305620,강북구,수유2동
136,11305630,강북구,수유3동
137,11305534,강북구,삼양동
138,11305535,강북구,미아동
139,11305545,강북구,송중동
140,11305555,강북구,송천동
141,11305575,강북구,삼각산동
142,11305645,강북구,우이동
143,11305660,강북구,인수동
144,11320660,도봉구,쌍문1동
145,11320670,도봉구,쌍문2동
146,11320680,도봉구,쌍문3동
147,11320681,도봉구,쌍문4동
148,11320690,도봉구,방학1동
149,11320700,도봉구,방학2동
150,11320710,도봉구,방학3동
151,11320511,도봉구,창1동
152,11320512,도봉구,창2동
153,11320513,도봉구,창3동
154,11320514,도봉구,창4동
155,11320515,도봉구,창5동
156,11320521,도봉구,도봉1동
157,11320522,도봉구,도봉2동
158,11350560,노원구,월계1동
159,11350570,노원구,월계2동
160,11350580,노원구,월계3동
161,11350600,노원구,공릉2동
162,11350611,노원구,하계1동
163,11350612,노원구,하계2동
164,11350619,노원구,중계본동
165,11350621,노원구,중계1동
166,11350624,노원구,중계4동
167,11350630,노원구,상계1동
168,11350640,노원구,상계2동
169,11350670,노원구,상계5동
170,11350700,노원구,상계8동
171,11350710,노원구,상계9동
172,11350720,노원구,상계10동
173,11350665,노원구,상계3.4동
174,11350695,노원구,상계6.7동
175,11350625,노원구,중계2.3동
176,11350595,노원구,공릉1동
177,11380510,은평구,녹번동
178,11380520,은평구,불광1동
179,11380551,은평구,갈현1동
180,11380552,은평구,갈현2동
181,11380560,은평구,구산동
182,11380570,은평구,대조동
183,11380580,은평구,응암1동
184,11380590,은평구,응암2동
185,11380631,은평구,신사1동
186,11380632,은평구,신사2동
187,11380640,은평구,증산동
188,11380650,은평구,수색동
189,11380690,은평구,진관동
190,11380530,은평구,불광2동
191,11380600,은평구,응암3동
192,11380625,은평구,역촌동
193,11410520,서대문구,천연동
194,11410620,서대문구,홍제1동
195,11410640,서대문구,홍제3동
196,11410655,서대문구,홍제2동
197,11410660,서대문구,홍은1동
198,11410685,서대문구,홍은2동
199,11410690,서대문구,남가좌1동
200,11410700,서대문구,남가좌2동
201,11410710,서대문구,북가좌1동
202,11410720,서대문구,북가좌2동
203,11410565,서대문구,충현동
204,11410555,서대문구,북아현동
205,11410585,서대문구,신촌동
206,11410615,서대문구,연희동
207,11440590,마포구,용강동
208,11440600,마포구,대흥동
209,11440610,마포구,염리동
210,11440630,마포구,신수동
211,11440660,마포구,서교동
212,11440680,마포구,합정동
213,11440690,마포구,망원1동
214,11440700,마포구,망원2동
215,11440710,마포구,연남동
216,11440720,마포구,성산1동
217,11440730,마포구,성산2동
218,11440740,마포구,상암동
219,11440585,마포구,도화동
220,11440655,마포구,서강동
221,11440565,마포구,공덕동
222,11440555,마포구,아현동
223,11470510,양천구,목1동
224,11470520,양천구,목2동
225,11470530,양천구,목3동
226,11470540,양천구,목4동
