,행정동코드,행정동명
1,11110530,사직동
2,11110540,삼청동
3,11110550,부암동
4,11110560,평창동
5,11110570,무악동
6,11110580,교남동
7,11110600,가회동
8,11110615,종로1.2.3.4가동
9,11110630,종로5.6가동
10,11110640,이화동
11,11110670,창신1동
12,11110680,창신2동
13,11110690,창신3동
14,11110700,숭인1동
15,11110710,숭인2동
16,11110515,청운효자동
17,11110650,혜화동
18,11140520,소공동
19,11140540,회현동
20,11140550,명동
21,11140570,필동
22,11140580,장충동
23,11140590,광희동
24,11140605,을지로동
25,11140650,신당5동
26,11140670,황학동
27,11140680,중림동
28,11140615,신당동
29,11140625,다산동
30,11140635,약수동
31,11140645,청구동
32,11140665,동화동
33,11170510,후암동
34,11170520,용산2가동
35,11170530,남영동
36,11170570,원효로2동
37,11170580,효창동
38,11170590,용문동
39,11170630,이촌1동
40,11170640,이촌2동
41,11170650,이태원1동
42,11170660,이태원2동
43,11170690,서빙고동
44,11170700,보광동
45,11170555,청파동
46,11170560,원효로1동
47,11170625,한강로동
48,11170685,한남동
49,11200520,왕십리2동
50,11200540,마장동
51,11200550,사근동
52,11200560,행당1동
53,11200570,행당2동
54,11200580,응봉동
55,11200590,금호1가동
56,11200620,금호4가동
57,11200650,성수1가1동
58,11200660,성수1가2동
59,11200670,성수2가1동
60,11200690,성수2가3동
61,11200720,송정동
62,11200790,용답동
63,11200535,왕십리도선동
64,11200615,금호2.3가동
65,11200645,옥수동
66,11215710,화양동
67,11215730,군자동
68,11215740,중곡1동
69,11215750,중곡2동
70,11215760,중곡3동
71,11215770,중곡4동
72,11215780,능동
73,11215850,구의1동
74,11215860,구의2동
75,11215870,구의3동
76,11215810,광장동
77,11215820,자양1동
78,11215830,자양2동
79,11215840,자양3동
80,11215847,자양4동
81,11230710,회기동
82,11230720,휘경1동
83,11230730,휘경2동
84,11230705,청량리동
85,11230536,용신동
86,11230545,제기동
87,11230560,전농1동
88,11230570,전농2동
89,11230610,답십리2동
90,11230650,장안1동
91,11230660,장안2동
92,11230740,이문1동
93,11230750,이문2동
94,11230600,답십리1동
95,11260520,면목2동
96,11260540,면목4동
97,11260550,면목5동
98,11260570,면목7동
99,11260580,상봉1동
100,11260590,상봉2동
101,11260600,중화1동
102,11260610,중화2동
103,11260620,묵1동
104,11260630,묵2동
105,11260660,망우3동
106,11260680,신내1동
107,11260690,신내2동
108,11260565,면목본동
109,11260575,면목3.8동
110,11260655,망우본동
111,11290580,돈암1동
112,11290590,돈암2동
113,11290600,안암동
114,11290610,보문동
115,11290620,정릉1동
116,11290630,정릉2동
117,11290640,정릉3동
118,11290650,정릉4동
119,11290660,길음1동
120,11290685,길음2동
121,11290715,월곡1동
122,11290725,월곡2동
123,11290760,장위1동
124,11290770,장위2동
125,11290780,장위3동
126,11290525,성북동
127,11290555,삼선동
128,11290575,동선동
129,11290705,종암동
130,11290810,석관동
131,11305590,번1동
132,11305600,번2동
133,11305606,번3동
134,11305610,수유1동
135,11305620,수유2동
136,11305630,수유3동
137,11305534,삼양동
138,11305535,미아동
139,11305545,송중동
140,11305555,송천동
141,11305575,삼각산동
142,11305645,우이동
143,11305660,인수동
144,11320660,쌍문1동
145,11320670,쌍문2동
146,11320680,쌍문3동
147,11320681,쌍문4동
148,11320690,방학1동
149,11320700,방학2동
150,11320710,방학3동
151,11320511,창1동
152,11320512,창2동
153,11320513,창3동
154,11320514,창4동
155,11320515,창5동
156,11320521,도봉1동
157,11320522,도봉2동
158,11350560,월계1동
159,11350570,월계2동
160,11350580,월계3동
161,11350600,공릉2동
162,11350611,하계1동
163,11350612,하계2동
164,11350619,중계본동
165,11350621,중계1동
166,11350624,중계4동
167,11350630,상계1동
168,11350640,상계2동
169,11350670,상계5동
170,11350700,상계8동
171,11350710,상계9동
172,11350720,상계10동
173,11350665,상계3.4동
174,11350695,상계6.7동
175,11350625,중계2.3동
176,11350595,공릉1동
177,11380510,녹번동
178,11380520,불광1동
179,11380551,갈현1동
180,11380552,갈현2동
181,11380560,구산동
182,11380570,대조동
183,11380580,응암1동
184,11380590,응암2동
185,11380631,신사1동
186,11380632,신사2동
187,11380640,증산동
188,11380650,수색동
189,11380690,진관동
190,11380530,불광2동
191,11380600,응암3동
192,11380625,역촌동
193,11410520,천연동
194,11410620,홍제1동
195,11410640,홍제3동
196,11410655,홍제2동
197,11410660,홍은1동
198,11410685,홍은2동
199,11410690,남가좌1동
200,11410700,남가좌2동
201,11410710,북가좌1동
202,11410720,북가좌2동
203,11410565,충현동
204,11410555,북아현동
205,11410585,신촌동
206,11410615,연희동
207,11440590,용강동
208,11440600,대흥동
209,11440610,염리동
210,11440630,신수동
211,11440660,서교동
212,11440680,합정동
213,11440690,망원1동
214,11440700,망원2동
215,11440710,연남동
216,11440720,성산1동
217,11440730,성산2동
218,11440740,상암동
219,11440585,도화동
220,11440655,서강동
221,11440565,공덕동
222,11440555,아현동
223,11470510,목1동
224,11470520,목2동
225,11470530,목3동
226,11470540,목4동
227,11470560,신월1동
228,11470570,신월2동
229,11470580,신월3동
230,11470590,신월4동
231,11470600,신월5동
232,11470610,신월6동
233,11470611,신월7동
234,11470620,신정1동
235,11470630,신정2동
236,11470640,신정3동
237,11470670,신정6동
238,11470680,신정7동
239,11470550,목5동
240,11470650,신정4동
241,11500510,염창동
242,11500520,등촌1동
243,11500530,등촌2동
244,11500535,등촌3동
245,11500590,화곡본동
246,11500550,화곡2동
247,11500560,화곡3동
248,11500570,화곡4동
249,11500591,화곡6동
250,11500593,화곡8동
251,11500603,가양1동
252,11500604,가양2동
253,11500605,가양3동
254,11500611,발산1동
255,11500620,공항동
256,11500630,방화1동
257,11500640,방화2동
258,11500641,방화3동
259,11500540,화곡1동
260,11500615,우장산동
261,11530510,신도림동
262,11530520,구로1동
263,11530540,구로3동
264,11530550,구로4동
265,11530560,구로5동
266,11530720,고척1동
267,11530730,고척2동
268,11530750,개봉2동
269,11530760,개봉3동
270,11530770,오류1동
271,11530780,오류2동
272,11530790,수궁동
273,11530595,가리봉동
274,11530530,구로2동
275,11530740,개봉1동
276,11545510,가산동
277,11545610,독산1동
278,11545620,독산2동
279,11545630,독산3동
280,11545640,독산4동
281,11545670,시흥1동
282,11545680,시흥2동
283,11545690,시흥3동
284,11545700,시흥4동
285,11545710,시흥5동
286,11560540,여의동
287,11560550,당산1동
288,11560560,당산2동
289,11560610,양평1동
290,11560620,양평2동
291,11560630,신길1동
292,11560650,신길3동
293,11560660,신길4동
294,11560670,신길5동
295,11560680,신길6동
296,11560690,신길7동
297,11560700,대림1동
298,11560710,대림2동
299,11560720,대림3동
300,11560515,영등포본동
301,11560535,영등포동
302,11560585,도림동
303,11560605,문래동
304,11590520,노량진2동
305,11590530,상도1동
306,11590540,상도2동
307,11590550,상도3동
308,11590560,상도4동
309,11590620,사당1동
310,11590640,사당3동
311,11590650,사당4동
312,11590651,사당5동
313,11590660,대방동
314,11590670,신대방1동
315,11590680,신대방2동
316,11590605,흑석동
317,11590510,노량진1동
318,11590630,사당2동
319,11620525,보라매동
320,11620545,청림동
321,11620575,행운동
322,11620585,낙성대동
323,11620615,중앙동
324,11620625,인헌동
325,11620630,남현동
326,11620645,서원동
327,11620655,신원동
328,11620665,서림동
329,11620685,신사동
330,11620695,신림동
331,11620715,난향동
332,11620725,조원동
333,11620735,대학동
334,11620605,은천동
335,11620565,성현동
336,11620595,청룡동
337,11620775,난곡동
338,11620745,삼성동
339,11620765,미성동
340,11650510,서초1동
341,11650520,서초2동
342,11650530,서초3동
343,11650531,서초4동
344,11650540,잠원동
345,11650550,반포본동
346,11650560,반포1동
347,11650570,반포2동
348,11650580,반포3동
349,11650581,반포4동
350,11650590,방배본동
351,11650600,방배1동
352,11650610,방배2동
353,11650620,방배3동
354,11650621,방배4동
355,11650651,양재1동
356,11650652,양재2동
357,11650660,내곡동
358,11680510,신사동
359,11680521,논현1동
360,11680531,논현2동
361,11680580,삼성1동
362,11680590,삼성2동
363,11680600,대치1동
364,11680630,대치4동
365,11680640,역삼1동
366,11680650,역삼2동
367,11680655,도곡1동
368,11680656,도곡2동
369,11680660,개포1동
370,11680690,개포4동
371,11680720,일원본동
372,11680730,일원1동
373,11680740,일원2동
374,11680750,수서동
375,11680700,세곡동
376,11680545,압구정동
377,11680565,청담동
378,11680610,대치2동
379,11680670,개포2동
380,11710510,풍납1동
381,11710520,풍납2동
382,11710531,거여1동
383,11710532,거여2동
384,11710540,마천1동
385,11710550,마천2동
386,11710561,방이1동
387,11710562,방이2동
388,11710566,오륜동
389,11710570,오금동
390,11710580,송파1동
391,11710590,송파2동
392,11710600,석촌동
393,11710610,삼전동
394,11710620,가락본동
395,11710631,가락1동
396,11710632,가락2동
397,11710641,문정1동
398,11710642,문정2동
399,11710650,잠실본동
400,11710690,잠실4동
401,11710710,잠실6동
402,11710720,잠실7동
403,11710670,잠실2동
404,11710680,잠실3동
405,11710646,장지동
406,11710647,위례동
407,11740515,강일동
408,11740520,상일동
409,11740530,명일1동
410,11740540,명일2동
411,11740550,고덕1동
412,11740560,고덕2동
413,11740580,암사2동
414,11740590,암사3동
415,11740600,천호1동
416,11740620,천호3동
417,11740640,성내1동
418,11740650,성내2동
419,11740660,성내3동
420,11740690,둔촌1동
421,11740700,둔촌2동
422,11740570,암사1동
423,11740610,천호2동
424,11740685,길동
