,상권코드,상권명,행정동코드
0,1000275,보문로26길,11290600
1,1000276,보문로31길,11290555
2,1001045,동작구 총신대입구역_1,11590630
3,1001046,서울 관악구 신림역_4,11620695
4,1001047,뱅뱅사거리_1,11680655
5,1001048,뱅뱅사거리,11650520
6,1001049,개봉동 현대아파트 인근,11530760
7,1001050,교대역_1,11650530
8,1001260,창동역,11320514
9,1001261,서울 노원구 노원역_1,11350695
10,1001262,서울 노원구 노원역_2,11350695
11,1001263,서울 노원구 노원역_3,11350640
12,1001217,서울 종로구 종로5가역_1,11110630
13,1001255,서울 은평구 연신내역_3,11380530
14,1001259,서울 강북구 수유역_3,11305630
15,1001310,구의시장,11215860
16,1001322,동부시장,11230600
17,1001323,답십리시장,11230610
18,1001324,전곡시장,11230660
19,1001325,청량리청과물시장,11230545
20,1001451,사당시장,11590650
21,1001468,남부종합시장,11650590
22,1001469,양재시장,11650651
23,1001407,등마루시장,11500520
24,1001408,신월중앙시장,11500535
25,1001450,남성역골목시장,11590650
26,1001042,서울 서초구 남부터미널역_3,11650510
27,1001043,동작구 총신대입구역_2,11650621
28,1001044,양재역_3,11650520
29,1001030,양재역_2,11650651
30,1001031,서울 관악구 신림역_1,11620645
31,1001032,서울 관악구 신림역_2,11620645
32,1001033,서울 서초구 남부터미널역_1,11650510
33,1000379,동일로173가길,11350595
34,1000380,동일로192길,11350595
35,1000381,동일로242길,11350630
36,1000071,이태원로54길,11170685
37,1000072,장문로45길,11170700
38,1000073,청파로47길,11170555
39,1001490,길동복조리시장,11740685
40,1001332,사가정시장,11260575
41,1001333,중화제일시장,11260630
42,1001334,태능시장,11260610
43,1001335,묵1동도깨비시장,11260620
44,1001336,우림골목시장,11260655
45,1001337,유영시장,11260660
46,1001338,돈암제일시장,11290555
47,1001377,영천시장,11410520
48,1001057,교대역_2,11650510
49,1001058,역삼역_1,11680640
50,1001059,교대역_3,11650530
51,1001060,가락시장,11710631
52,1001061,방배동카페골목,11650590
53,1001062,서울 강남구 강남역_1,11650520
54,1001181,서울 광진구 군자역,11215730
55,1001123,학동사거리_1,11680531
56,1001017,관악구 사당역_3,11620630
57,1001018,포이사거리_2,11650652
58,1001019,포이사거리_1,11680690
59,1001020,장지역,11710642
60,1001021,가산디지털단지역_1,11545510
61,1001038,구로디지탈1단지,11530540
62,1001039,서울 서초구 남부터미널역_2,11650530
63,1001040,서울 관악구 신림역_3,11620695
64,1001041,서울 강남구 수서역,11680750
65,1000377,해등로16길,11320515
66,1000378,공릉로58길,11350611
67,1000298,정릉로27길,11290630
68,1000299,정릉로8길,11290640
69,1000376,우이천로4다길,11320513
70,1001292,이태원제일시장,11170660
71,1001293,보광시장,11170700
72,1001278,남평화시장,11140615
73,1001279,동평화시장,11140615
74,1001280,제일평화시장,11140615
75,1000300,종암로16길,11290705
76,1001281,청평화시장,11140615
77,1001282,약수시장,11140635
78,1001283,백학시장,11140650
79,1001284,서울중앙시장,11140670
80,1001309,조양시장,11215847
81,1001368,연서시장,11380530
82,1001369,갈현시장,11380551
83,1001370,역촌중앙시장,11380552
84,1001371,대조시장,11380570
85,1001098,포스코사거리_1,11680590
86,1001099,포스코사거리_2,11680580
87,1001100,강남구 논현역_3,11680521
88,1001101,선정릉역_2,11680590
89,1001102,서울 강남구 학동역_1,11680521
90,1001103,코엑스,11680580
91,1001104,삼성역_3,11680580
92,1001055,서울 서초구 서초역,11650530
93,1001056,서울 송파구 가락시장역,11710620
94,1001027,가산디지털단지역_3,11545510
95,1001028,서울 관악구 서울대입구역_2,11620575
96,1001029,양재역_1,11650651
97,1001011,서울 금천구 시흥1동_4,11545670
98,1001054,서울 강남구 대치역_2,11680600
99,1001012,양재 화물트럭터미널앞_1,11650652
100,1001013,양재 화물트럭터미널앞_2,11650652
101,1001014,양재동 꽃시장,11650652
102,1001015,서울 금천구 독산1동_1,11545610
103,1001016,서울 관악구 대학동_1,11620735
104,1000155,아차산로78길,11215810
105,1000156,용마산로21길,11215750
106,1000157,용마산로3길,11215750
107,1000158,자양로11길,11215820
108,1000295,장월로1길,11290725
109,1000296,장위로50길,11290780
110,1000297,정릉로26길,11290630
111,1001277,방산종합시장,11140605
112,1001264,통인시장,11110515
113,1001265,광장시장,11110615
114,1001266,동대문종합시장,11110630
115,1001267,종로신진시장,11110630
116,1001268,충신시장,11110630
117,1001269,동문시장,11110670
118,1001270,창신골목시장,11110680
119,1001272,신설종합시장,11110710
120,1001286,후암시장,11170510
121,1001287,신흥시장,11170520
122,1001289,용문전통시장,11170590
123,1001290,이촌종합시장,11170630
124,1001291,이태원시장,11170650
125,1001092,강남구 논현역_1,11650560
126,1001093,신천역,11710650
127,1001094,선정릉역_1,11680590
128,1001095,강남구 논현역_2,11680521
129,1001288,만리시장,11170555
130,1001096,신도림역,11530510
131,1001052,뱅뱅사거리_2,11680640
132,1001053,서울 강남구 대치역_1,11680600
133,1001022,관악구 사당역_2,11590620
134,1001023,가산디지털단지역_2,11545510
135,1001024,관악구 사당역_1,11650610
136,1001025,서울 관악구 서울대입구역_1,11620595
137,1001026,구로디지털단지역,11530595
138,1001097,잠실역 롯데월드,11710680
139,1001051,보라매공원,11590680
140,1000067,원효로53길,11170590
141,1000068,원효로89길,11170560
142,1000069,이촌로22길,11170640
143,1000070,이태원로27길,11170650
144,1000152,아차산로51길,11215850
145,1000153,아차산로55길,11215850
146,1000154,아차산로65길,11215870
147,1001300,화양제일골목시장,11215710
148,1001301,중곡제일시장,11215740
149,1001302,면곡골목시장,11215760
150,1001303,신성골목시장,11215770
151,1001304,자양골목시장,11215820
152,1001305,자양종합시장,11215830
153,1001306,노룬산골목시장,11215847
154,1001307,능동로골목시장,11215840
155,1001308,영동교골목시장,11215847
156,1001273,남대문시장,11140540
157,1001274,신중부시장,11140590
158,1001275,인현시장,11140590
159,1001276,평화시장,11140590
160,1001069,은마아파트입구사거리_3,11680630
161,1001070,은마아파트입구사거리_4,11680610
162,1001071,서울 강남구 한티역,11680630
163,1001165,서울 광진구 건대입구역_2,11215710
164,1001166,서울 마포구 마포역_2,11440590
165,1001167,서울 마포구 공덕역_1,11440565
166,1001089,삼정역_1,11680640
167,1001090,삼정역_2,11680531
168,1001091,삼성역_2,11680610
169,1000277,보문로32길,11290575
170,1000278,삼선교로10길,11290555
171,1000279,삼선교로10다길,11290555
172,1000280,삼선교로16가길,11290555
173,1000064,우사단로4길,11170700
174,1000065,원효로19길,11170570
175,1000066,원효로41길,11170570
176,1001298,성동용답상가시장,11200790
177,1001311,동부청과시장,11230536
178,1001314,경동시장,11230545
179,1001315,동서시장,11230545
180,1001316,서울약령시장,11230545
181,1001317,청량리농수산물시장,11230545
182,1001318,청량리전통시장,11230545
183,1001319,청량리종합시장,11230545
184,1001320,전농로터리시장,11230560
185,1001312,용두시장,11230536
186,1001313,청량리수산시장,11230536
187,1001321,답십리현대시장,11230610
188,1001299,한아름시장,11215710
189,1001085,서울 서초구 강남역,11680640
190,1001086,고속터미널역,11650581
191,1001087,서울 강남구 선릉역_2,11680640
192,1001088,삼성역_1,11680610
193,1001066,서울 강남구 강남역,11680640
194,1001067,오류동역,11530770
195,1001068,은마아파트입구사거리_2,11680610
196,1000293,인촌로5길,11290600
197,1000294,인촌로6길,11290610
198,1000212,천호대로77길,11230650
199,1000213,천호대로97길,11230650
200,1000214,한천로14길,11230650
201,1000215,한천로33길,11230570
202,1000273,보국문로16길,11290650
203,1000274,보문로13길,11290610
204,1000370,방학로15길,11320710
205,1000371,방학로5길,11320670
206,1000372,방학로6가길,11320690
207,1000373,삼양로144길,11320660
208,1000374,시루봉로23길,11320521
209,1000369,방학로10길,11320700
210,1000375,우이천로32길,11320660
211,1001326,회기시장,11230710
212,1001327,이경시장,11230720
213,1001328,이문제일시장,11230750
214,1001329,동부골목시장,11260590
215,1001330,동원시장,11260565
216,1001331,면목골목시장,11260570
217,1001285,합동(새벽)시장,11140680
218,1001294,마장축산물시장,11200540
219,1001295,행당시장,11200560
220,1001296,금남시장,11200615
221,1001297,뚝도시장,11200670
222,1001115,서울 강남구 강남구청역_2,11680531
223,1001116,영등포역_1,11560535
224,1001117,강남구 신사역_2,11680521
225,1001118,문래동 주민센터,11560605
226,1001119,영등포역_2,11560535
227,1001082,선릉역_2,11680630
228,1001083,서울 송파구 석촌역_2,11710580
229,1001084,서울 강남구 선릉역_1,11680590
230,1000210,천호대로17길,11230536
231,1000211,천호대로45길,11230536
232,1000221,휘경로3길,11230740
233,1000289,인촌로17가길,11290600
234,1000290,인촌로1길,11290610
235,1000291,개운사길,11290600
236,1000292,인촌로24길,11290600
237,1000541,은행정로7길,11470650
238,1000767,성대로29길,11590560
239,1000768,신대방길,11590670
240,1000769,양녕로26길,11590560
241,1000422,증산로13길,11380640
242,1000423,증산로15길,11380632
243,1001107,방이동 먹자골목,11710562
244,1001108,학동역,11680521
245,1001109,강남구 논현역_4,11650540
246,1001110,잠실역,11710710
247,1001111,서울 강남구 강남구청역_1,11680531
248,1001112,서울 강남구 학동역_3,11680531
249,1001113,서울 동작구 노량진1동_1,11590510
250,1001106,서울 강남구 학동역_2,11680531
251,1001114,강남구 신사역_1,11650540
252,1000057,백범로79길,11170580
253,1000058,백범로90길,11170560
254,1000059,서빙고로71길,11170690
255,1000060,소월로20길,11170520
256,1000061,신흥로20길,11170510
257,1000207,제기로5길,11230545
