,시군구코드,시군구명
0,11110,종로구
1,11140,중구
2,11170,용산구
3,11200,성동구
4,11215,광진구
5,11230,동대문구
6,11260,중랑구
7,11290,성북구
8,11305,강북구
9,11320,도봉구
10,11350,노원구
11,11380,은평구
12,11410,서대문구
13,11440,마포구
14,11470,양천구
15,11500,강서구
16,11530,구로구
17,11545,금천구
18,11560,영등포구
19,11590,동작구
20,11620,관악구
21,11650,서초구
22,11680,강남구
23,11710,송파구
24,11740,강동구
25,26000,
26,27000,
27,28110,중구
28,28140,동구
29,28170,남구
30,28185,연수구
31,28200,남동구
32,28237,부평구
33,28245,계양구
34,28260,서구
35,28710,강화군
36,28720,옹진군
37,29000,
38,30000,
39,31000,
40,36000,
41,41111,수원시 장안구
42,41113,수원시 권선구
43,41115,수원시 팔달구
44,41117,수원시 영통구
45,41131,성남시 수정구
46,41133,성남시 중원구
47,41135,성남시 분당구
48,41150,의정부시
49,41171,안양시 만안구
50,41173,안양시 동안구
51,41190,부천시
52,41210,광명시
53,41220,평택시
54,41250,동두천시
55,41271,안산시 상록구
56,41273,안산시 단원구
57,41281,고양시 덕양구
58,41285,고양시 일산동구
59,41287,고양시 일산서구
60,41290,과천시
61,41310,구리시
62,41360,남양주시
63,41370,오산시
64,41390,시흥시
65,41410,군포시
66,41430,의왕시
67,41450,하남시
68,41461,용인시 처인구
69,41463,용인시 기흥구
70,41465,용인시 수지구
71,41480,파주시
72,41500,이천시
73,41550,안성시
74,41570,김포시
75,41590,화성시
76,41610,광주시
77,41630,양주시
78,41650,포천시
79,41670,여주시
80,41800,연천군
81,41820,가평군
82,41830,양평군
83,42000,
84,43000,
85,44000,
86,45000,
87,46000,
88,47000,
89,48000,
90,50000,
