,상권코드,분기,상권구분,상권명,월평균소득,총지출,식료품지출,생활용품지출,여가지출,문화지출,교육지출
0,1001010,2,골목상권,풍성로37가길,2850735,12120296344,3292343150,892634747,444384439,377360177,1550457530
1,1001009,2,골목상권,천호옛길,3146942,8976116500,2526811041,659101424,327727539,283116450,1109489033
2,1001008,2,골목상권,천호옛14길,2774214,6175425196,1846295541,464028324,219745655,205715662,662629513
3,1001007,2,골목상권,천호대로219길,2561943,1609692543,452889712,108296299,52791935,47847994,208823957
4,1001006,2,골목상권,천호대로197길,3001401,10437230074,2691268507,747339442,403612797,304016442,1535009509
5,1001005,2,골목상권,천호대로187길,3042133,10369642338,2641298836,752324426,416050555,303321101,1536536962
6,1001004,2,골목상권,천호대로170길,3153884,14716607079,3698280448,1136822140,611681009,443933623,2089461377
7,1001003,2,골목상권,천호대로162길,3212473,11061346167,3008862442,844444468,442130239,347047739,1362705249
8,1001002,2,골목상권,천중로51길,2836678,12385543428,3190619649,905893568,507978923,364320770,1749589089
9,1001001,2,골목상권,천중로39길,2513852,13184559810,3430338615,988062580,559884826,396049917,1766365816
10,1001000,2,골목상권,진황도로47길,2717946,9633724210,2339296846,735817633,443355820,279878798,1434686317
11,1000999,2,골목상권,진황도로27길,3156210,15291679008,4000864060,1223149965,665926818,474353570,1993029367
12,1000998,2,골목상권,올림픽로98길,2501430,13441191060,3468983157,988823799,524519564,405322571,1909071173
13,1000997,2,골목상권,올림픽로80길,2585425,7589354256,2113112189,571696332,303359353,238337632,878955019
14,1000996,2,골목상권,올림픽로78길,2872128,6510829966,1763783202,497676274,261382751,204425035,807403594
15,1000995,2,골목상권,올림픽로77길,2826077,7490772472,2034070724,559715786,291010651,234388772,937098602
16,1000994,2,골목상권,올림픽로71길,2990495,5548362683,1559946230,407096245,201460964,176082395,679119088
17,1000993,2,골목상권,올림픽로48길,3705798,7172329900,1684143426,537556275,310253681,202561544,1132439866
18,1000992,2,골목상권,양재대로96길,3206351,10877531699,2759661531,780767336,420117294,315639358,1601119801
19,1000991,2,골목상권,양재대로95길,2815349,12662514536,3187224872,923528201,506593897,371000303,1808695249
20,1000990,2,골목상권,양재대로91길,2934791,10802348209,2707437849,793495703,447344295,315656995,1534114021
21,1000989,2,골목상권,양재대로133길,2652413,12063332168,3176293289,885555367,482154081,361804592,1631142215
22,1000988,2,골목상권,양재대로124길,2744182,12904029822,3250272644,956466536,555908573,376768278,1872476449
23,1000987,2,골목상권,양재대로116길,2687656,8992675554,2207914700,678432575,402626221,259351542,1324925061
24,1000986,2,골목상권,양재대로101길,3024709,14480332073,3481879778,1126365054,629339073,424492227,2209876292
25,1000985,2,골목상권,암사길,2860051,16791123933,4436718579,1205277301,600704183,506845578,2358949959
26,1000984,2,골목상권,성안로3길,3430897,8636080173,2002357910,655156824,397014732,244066910,1337230137
27,1000983,2,골목상권,성내로5길,3324166,9606744620,2530738468,700909559,351855990,291471847,1346590440
28,1000982,2,골목상권,상일로5길,3008800,2933191829,774574143,201301583,97298999,84863111,419547049
29,1000981,2,골목상권,상암로5길,3305243,10526122568,2619141698,759711876,414818543,304518598,1633800629
30,1000980,2,골목상권,상암로51길,3123809,9365327952,2433081840,667247502,364523012,272119387,1334710955
