,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
0,1001496,2,관광특구,강남 마이스 관광특구,95914,5297,20682,27920,21070,11565,9379
1,1001495,2,관광특구,잠실 관광특구,2998695,267180,680201,724138,487004,381746,458425
2,1001494,2,관광특구,종로?청계 관광특구,3889871,112828,647107,738727,739216,728774,923217
3,1001493,2,관광특구,동대문패션타운 관광특구,3164130,121539,565738,819135,643135,478598,535983
4,1001492,2,관광특구,명동 남대문 북창동 다동 무교동 관광특구,3714818,96774,653550,966454,851619,595375,551046
5,1001491,2,관광특구,이태원 관광특구,1623934,94204,389931,384077,268992,210122,276606
6,1001490,2,전통시장,길동복조리시장,841772,136515,94791,115255,131889,133712,229611
7,1001489,2,전통시장,둔촌역전통시장,250962,37901,32735,32825,39435,43203,64864
8,1001488,2,전통시장,성내골목시장,608673,98419,69247,95505,99583,88683,157235
9,1001487,2,전통시장,천호시장,86005,6603,15305,15181,13671,14715,20529
10,1001486,2,전통시장,동서울시장,64180,5385,9820,11216,9696,10447,17617
11,1001485,2,전통시장,고분다리골목시장,108117,17447,13496,14685,15351,17830,29307
12,1001484,2,전통시장,양지골목시장,90263,24007,9164,13195,15354,11904,16639
13,1001483,2,전통시장,암사종합시장,302105,36552,39999,51572,45508,48686,79788
14,1001482,2,전통시장,고덕전통시장,265286,45455,26273,45898,48796,38342,60522
15,1001481,2,전통시장,명일골목시장,190733,35620,20620,25019,30257,30378,48841
16,1001480,2,전통시장,새마을시장,783218,126710,119802,138162,137109,107313,154124
17,1001479,2,전통시장,석촌시장,406753,61050,53813,82087,69607,60862,79336
18,1001478,2,전통시장,방이시장,941513,126519,146057,197626,150836,127194,193281
19,1001477,2,전통시장,마천시장,400574,53461,42426,50215,60957,67738,125778
20,1001476,2,전통시장,풍납시장,608933,83997,67799,85161,94790,101627,175557
21,1001475,2,전통시장,강남개포시장,38287,8544,3798,4076,6960,5917,8992
22,1001474,2,전통시장,도곡시장,282017,91657,23295,26795,68373,36702,35195
23,1001473,2,전통시장,청담삼익시장,34161,3289,5170,7982,6974,5004,5739
24,1001472,2,전통시장,논현종합시장,42616,2581,8577,12088,8345,4948,6079
25,1001471,2,전통시장,영동전통시장,400469,16433,92982,103071,77928,49501,60552
26,1001470,2,전통시장,강남시장_강남,39866,2516,10637,9985,7375,4916,4435
27,1001469,2,전통시장,양재시장,51684,5303,7902,11823,9911,6714,10032
28,1001468,2,전통시장,남부종합시장,68190,12768,8053,9335,13525,10209,14301
29,1001467,2,전통시장,우림시장,51288,7906,6808,7329,7660,7870,13713
30,1001466,2,전통시장,미성동도깨비시장,229009,39040,32249,32527,35876,33718,55599
31,1001465,2,전통시장,신신림시장,54686,4691,13765,9335,7422,7012,12461
32,1001464,2,전통시장,삼성동시장,257000,21380,64348,44184,34703,33741,58645
33,1001463,2,전통시장,신림중앙시장,55268,5898,12453,10677,7877,7137,11227
34,1001462,2,전통시장,강남골목시장,226579,13256,47301,53704,39675,32707,39935
35,1001461,2,전통시장,신림종합시장,35056,3226,7417,6906,4923,4617,7967
36,1001460,2,전통시장,관악신사시장,473139,37729,113343,93905,61728,64387,102047
37,1001459,2,전통시장,신원시장,994427,59859,287616,202096,130548,125904,188403
38,1001458,2,전통시장,인헌시장,331582,32142,71230,66606,45403,44075,72124
39,1001457,2,전통시장,봉천중앙시장,56738,5708,12696,10048,7757,7494,13035
40,1001456,2,전통시장,봉천현대시장,75411,13852,9560,12872,12498,9119,17510
41,1001455,2,전통시장,봉일시장,125394,14527,22926,21977,19567,18023,28374
42,1001454,2,전통시장,봉천제일종합시장,87549,7968,25446,16450,10197,9799,17691
