,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구,00-06생활인구,06-11생활인구,11-14생활인구,14-17생활인구,17-21생활인구,21-24생활인구,월요일생활인구,화요일생활인구,수요일생활인구,목요일생활인구,금요일생활인구,토요일생활인구,일요일생활인구,평일생활인구,주말생활인구
0,1001496,2,관광특구,강남 마이스 관광특구,95914,5297,20682,27920,21070,11565,9379,6249,18973,22195,22769,20305,5423,14551,15070,14804,15586,15381,11155,9367,75392,20522
1,1001495,2,관광특구,잠실 관광특구,2998695,267180,680201,724138,487004,381746,458425,542485,566015,446579,471664,641020,330931,420601,428274,436621,431547,440036,436458,405158,2157079,841616
2,1001494,2,관광특구,종로?청계 관광특구,3889871,112828,647107,738727,739216,728774,923217,436093,778855,814205,818207,752413,290099,617545,632500,613934,631677,628893,441076,324246,3124549,765322
3,1001493,2,관광특구,동대문패션타운 관광특구,3164130,121539,565738,819135,643135,478598,535983,727262,640224,459900,437255,498051,401439,487426,503477,491319,496673,495829,376685,312721,2474724,689406
4,1001492,2,관광특구,명동 남대문 북창동 다동 무교동 관광특구,3714818,96774,653550,966454,851619,595375,551046,209363,820535,926681,905380,680611,172248,613098,631270,588248,632851,619608,354396,275345,3085075,629741
5,1001491,2,관광특구,이태원 관광특구,1623934,94204,389931,384077,268992,210122,276606,303417,300580,227208,251774,347264,193691,220830,224584,229903,227186,238858,250809,231767,1141361,482576
6,1001490,2,전통시장,길동복조리시장,841772,136515,94791,115255,131889,133712,229611,226420,164318,95649,99487,146258,109640,117785,117578,118421,116305,117459,125634,128592,587548,254226
7,1001489,2,전통시장,둔촌역전통시장,250962,37901,32735,32825,39435,43203,64864,59017,49016,32281,33785,46764,30096,35485,35238,35477,35673,35765,37130,36195,177638,73325
8,1001488,2,전통시장,성내골목시장,608673,98419,69247,95505,99583,88683,157235,160949,120455,68821,72093,107257,79095,83600,83446,84559,83481,83880,93344,96361,418966,189705
9,1001487,2,전통시장,천호시장,86005,6603,15305,15181,13671,14715,20529,12338,14434,13377,15694,20605,9556,11796,12048,12354,12093,12617,13022,12077,60908,25099
