,상권코드,분기,상권구분,상권명,서비스업종,점포수,분기당매출,주중매출금액,주말매출금액,10대매출,20대매출,30대매출,40대매출,50대매출,60대이상매출,00~06매출,06~11매출,11~14매출,14~17매출,17~21매출,21~24매출
0,1001496,2,관광특구,강남 마이스 관광특구,편의점,14,1868189492,1507407055,360782437,7935580,398802583,522755815,418693932,216067393,70945364,32887261,420514073,359189963,397721168,420988867,236888160
1,1001495,2,관광특구,잠실 관광특구,편의점,53,14009754617,9270097680,4739656937,312628535,4678738433,4183546944,2795567795,1333524211,599894897,972407113,1464440961,2442613896,2598822755,3793878540,2737591352
2,1001494,2,관광특구,종로?청계 관광특구,편의점,45,5325358861,4062882301,1262476560,28163257,1442373793,1453880775,1039744926,824787029,432448150,335727306,955822947,898600140,817670615,1292196300,1025341553
3,1001493,2,관광특구,동대문패션타운 관광특구,편의점,35,7140545264,5369249897,1771295367,44986446,2071162202,2398102667,1422697314,846376255,282487735,1276478713,1158804020,845294958,793740295,1624096920,1442130358
4,1001492,2,관광특구,명동 남대문 북창동 다동 무교동 관광특구,편의점,94,11527319302,9667971390,1859347912,45382497,2290942461,3344557219,2860093204,1520962582,528660749,330210915,3150874187,2343029134,1973759910,2381024206,1348420950
5,1001491,2,관광특구,이태원 관광특구,편의점,24,5861292597,3903791281,1957501316,50065800,1959919026,1892609937,879906696,671111663,289540136,771109779,658682809,656076615,759694632,1393124012,1622604750
6,1001489,2,전통시장,둔촌역전통시장,편의점,4,280555086,206265307,74289779,6195116,78192603,66770897,50989343,54062586,24344541,22188256,48376542,29786445,36925831,82297668,60980344
7,1001483,2,전통시장,암사종합시장,편의점,4,423698864,298242854,125456010,3798859,92622124,122224489,104433524,61641377,38978491,43212392,60169579,46631887,49879995,116106943,107698068
8,1001482,2,전통시장,고덕전통시장,편의점,2,260019591,185161251,74858340,1049934,58438416,92317364,62436523,27919255,4056747,14401522,38277182,33746164,35458588,75963984,62172151
9,1001480,2,전통시장,새마을시장,편의점,3,235983998,166736829,69247169,1357360,57807063,78140476,57957498,26547544,14174057,31070482,29164282,22602757,26298851,60535102,66312524
10,1001478,2,전통시장,방이시장,편의점,5,879755252,639413031,240342221,10967243,216173596,270986129,198913906,107448426,75265952,93775369,122914499,103891498,114387616,242265301,202520969
11,1001476,2,전통시장,풍납시장,편의점,1,386745164,267449449,119295715,2098393,61184981,87891395,93296121,105906958,36367316,30573034,46391844,34008687,43085470,118565819,114120310
12,1001475,2,전통시장,강남개포시장,편의점,3,476473337,338417731,138055606,23531311,90293713,90347176,119561048,100723339,52016750,36864182,59366170,64225147,59906071,132026908,124084859
13,1001471,2,전통시장,영동전통시장,편의점,1,118125337,92133255,25992082,139872,30493984,40029522,21170669,14587872,7237507,18491103,15946578,12577215,13380106,22946962,34783373
14,1001469,2,전통시장,양재시장,편의점,1,321733356,264235320,57498036,2870685,50152249,80714608,81320177,46840638,28684782,18065925,48655975,55839113,51669478,90372910,57129955
15,1001467,2,전통시장,우림시장,편의점,1,190243521,133673959,56569562,3777943,41708068,41201578,48905078,32008076,22642778,28516720,32411280,17706813,18731892,47769093,45107723
16,1001466,2,전통시장,미성동도깨비시장,편의점,1,82445833,57932680,24513153,312415,17770850,19964238,25538789,7598672,11260869,4185620,9933553,10431047,13290829,27205560,17399224
17,1001460,2,전통시장,관악신사시장,편의점,2,257256958,178882410,78374548,1118577,111829634,78795540,30672984,25425492,9414731,27551118,24666312,24357383,27552901,75066938,78062306
18,1001459,2,전통시장,신원시장,편의점,1,420317903,300395699,119922204,3508333,156849339,127814653,59836163,47472137,24837278,63306874,47151169,30872687,32218724,107982215,138786234
19,1001458,2,전통시장,인헌시장,편의점,3,219353516,156923478,62430038,2044614,56890690,70041593,40062086,31623480,18691053,26117002,24363295,21629344,32149707,59052242,56041926
20,1001450,2,전통시장,남성역골목시장,편의점,3,400456952,304083468,96373484,8367247,122187204,108274517,78549870,51595980,31482134,34690082,94932105,38344023,50855438,98620409,83014895
21,1001449,2,전통시장,남성사계시장,편의점,3,364430456,259093195,105337261,6500605,90775709,82657984,81328278,62096227,41071653,25907909,61230456,48438004,54669510,100057736,74126841
22,1001448,2,전통시장,흑석시장,편의점,2,314620843,226039329,88581514,5452511,80526731,64977577,75151952,59347154,29164918,11727105,42669414,34952845,38980219,92430060,93861200
23,1001447,2,전통시장,상도4동도깨비골목시장,편의점,1,270064098,190239112,79824986,2654950,73684846,79201701,51147756,49402567,13972278,40955782,44910906,18965728,22417005,67447119,75367558
24,1001441,2,전통시장,본동인정시장,편의점,2,80353647,58428637,21925010,1469142,26492547,19367710,16543774,12321897,4158577,11278401,11318567,6650877,7673393,22321206,21111203
25,1001440,2,전통시장,노량진중앙시장,편의점,4,812054938,574609875,237445063,13341477,311322085,237476166,93793705,113779675,30854176,87693997,84092394,94848648,93528345,241658078,210233476
26,1001430,2,전통시장,영등포전통시장,편의점,19,2137322332,1546292882,591029450,17232951,676513348,632724221,417930165,267273075,121022699,136424976,423294737,306682030,314599665,523954624,432366300
27,1001427,2,전통시장,현대시장,편의점,2,241305591,170686760,70618831,2359873,73528863,55810375,49509278,39241274,19033859,27577244,41927015,25857571,28261505,57938362,59743894
28,1001424,2,전통시장,남문시장,편의점,1,270689053,197624572,73064481,2681829,38569530,73726934,55040639,74811395,25858726,53261997,36367370,32347513,32958342,61957725,53796106
29,1001423,2,전통시장,독산동 우시장,편의점,2,1011174318,721115735,290058583,4682643,306480410,320202848,141489165,136875587,79873502,151811728,151292558,86953396,117001030,281005784,223109822
30,1001418,2,전통시장,남구로시장,편의점,1,284675544,207802353,76873191,480620,41517953,75921159,63950890,60276719,42528203,49393481,40281352,21058237,26601870,73646551,73694053
31,1001414,2,전통시장,송화골목시장,편의점,2,245147518,184880048,60267470,15797651,57548117,54710365,69430613,39690240,7970532,13835347,46245827,23702144,27749897,73674221,59940082
32,1001406,2,전통시장,신정3동골목시장,편의점,2,167554391,118217094,49337297,2579826,40173323,40924691,34942492,28900238,20033821,20748575,23886132,21265788,23763236,45207006,32683654
33,1001404,2,전통시장,신정제일시장,편의점,2,598613114,415875214,182737900,2447252,92137377,181158085,182179617,104036413,36654370,48938806,71492487,68184913,69905777,172138372,167952759
34,1001402,2,전통시장,신월6동골목시장,편의점,2,225257866,156631090,68626776,3693907,29890522,77053301,70978802,36128776,7512558,23588290,33851831,22243508,26882621,57576644,61114972
