,상권코드,분기,상권구분,상권명,총직장인구수,10대직장인구,20대직장인구,30대직장인구,40대직장인구,50대직장인구,60대이상직장인구
0,1001496,2,관광특구,강남 마이스 관광특구,15904,59,3513,6185,4248,1596,303
1,1001495,2,관광특구,잠실 관광특구,24375,120,4722,6565,5617,4514,2837
2,1001494,2,관광특구,종로?청계 관광특구,32935,68,5357,9965,9483,6401,1661
3,1001493,2,관광특구,동대문패션타운 관광특구,6054,36,1434,1695,1160,1061,668
4,1001492,2,관광특구,명동 남대문 북창동 다동 무교동 관광특구,104830,423,27134,34007,23384,15726,4156
5,1001491,2,관광특구,이태원 관광특구,5839,28,1377,2065,1290,768,311
6,1001490,2,전통시장,길동복조리시장,430,4,47,66,97,133,83
7,1001489,2,전통시장,둔촌역전통시장,224,0,44,51,45,47,37
8,1001488,2,전통시장,성내골목시장,30,0,1,5,8,10,6
9,1001487,2,전통시장,천호시장,35,0,4,10,6,7,8
10,1001486,2,전통시장,동서울시장,5,0,0,0,1,1,3
11,1001484,2,전통시장,양지골목시장,60,0,6,8,14,17,15
12,1001483,2,전통시장,암사종합시장,95,0,8,18,33,20,16
13,1001482,2,전통시장,고덕전통시장,935,0,8,37,165,395,330
14,1001481,2,전통시장,명일골목시장,89,0,8,10,13,28,30
15,1001480,2,전통시장,새마을시장,208,0,35,31,56,53,33
16,1001479,2,전통시장,석촌시장,286,0,31,57,96,57,45
17,1001478,2,전통시장,방이시장,3469,5,449,529,612,1126,748
18,1001477,2,전통시장,마천시장,102,0,14,21,24,27,16
19,1001476,2,전통시장,풍납시장,51,0,7,3,10,22,9
20,1001475,2,전통시장,강남개포시장,138,0,15,20,34,37,32
21,1001474,2,전통시장,도곡시장,57,0,3,7,15,13,19
22,1001473,2,전통시장,청담삼익시장,48,0,5,11,13,7,12
23,1001472,2,전통시장,논현종합시장,85,0,21,14,14,19,17
24,1001471,2,전통시장,영동전통시장,242,0,21,60,67,58,36
25,1001470,2,전통시장,강남시장_강남,58,0,13,15,14,8,8
26,1001469,2,전통시장,양재시장,35,0,2,10,9,7,7
27,1001468,2,전통시장,남부종합시장,85,0,2,8,25,35,15
28,1001467,2,전통시장,우림시장,1,0,0,0,1,0,0
29,1001466,2,전통시장,미성동도깨비시장,75,0,0,16,28,24,7
30,1001463,2,전통시장,신림중앙시장,43,0,1,2,14,12,14
