,분기,광역상권,하위상권,임대료,공실률,투자수익률,소득수익률,자본수익률
62,2,서울,서울,52.1,9.5,2.03,0.72,1.31
92,2,영등포신촌지역,홍대합정,70.7,15.0,1.97,0.61,1.35
96,2,기타,경희대학교,44.9,2.3,1.99,0.73,1.27
91,2,영등포신촌지역,영등포,40.3,15.7,1.99,0.72,1.28
90,2,영등포신촌지역,신촌이대,57.7,13.2,1.87,0.71,1.16
89,2,영등포신촌지역,망원역,32.7,2.3,1.82,0.71,1.11
88,2,영등포신촌지역,동교연남,41.7,2.2,1.94,0.7,1.24
87,2,영등포신촌지역,당산역,29.8,12.9,1.7,0.68,1.01
86,2,영등포신촌지역,공덕역,36.0,6.8,2.08,0.8,1.28
84,2,강남,테헤란로,50.1,18.8,2.18,0.67,1.51
83,2,강남,청담,57.7,18.3,2.08,0.54,1.54
82,2,강남,양재역,41.7,11.2,1.94,0.69,1.25
81,2,강남,양재말죽거리,38.1,6.0,2.28,0.67,1.61
79,2,강남,신사역,82.2,13.6,1.92,0.58,1.34
77,2,강남,도산대로,46.0,12.8,3.21,0.56,2.65
64,2,도심(시내),광화문,78.4,23.0,1.71,0.76,0.94
70,2,도심(시내),종로,76.5,9.8,1.83,0.76,1.07
66,2,도심(시내),동대문,45.1,11.9,2.04,0.68,1.37
67,2,도심(시내),명동,208.0,37.3,0.32,0.37,-0.05
68,2,도심(시내),시청,60.4,8.4,1.87,0.81,1.06
69,2,도심(시내),을지로,42.7,5.4,1.88,0.7,1.18
94,2,기타,가락시장,38.6,11.3,1.91,0.59,1.33
71,2,도심(시내),충무로,48.9,5.7,1.39,0.7,0.69
74,2,강남,교대역,29.3,8.0,1.8,0.72,1.08
75,2,강남,남부터미널,27.0,3.9,2.26,0.77,1.49
76,2,강남,논현역,48.7,19.1,1.82,0.58,1.24
73,2,강남,강남대로,103.0,9.5,2.54,0.85,1.69
108,2,기타,성신여자대학교,46.7,13.7,1.59,0.89,0.71
78,2,강남,서래마을,44.2,11.1,2.0,0.74,1.26
80,2,강남,압구정동,47.3,9.3,2.15,0.6,1.55
110,2,기타,숙명여자대학교,39.5,2.3,1.73,0.47,1.25
97,2,기타,구로디지털단지역,45.1,3.1,1.94,0.79,1.15
122,2,기타,혜화동,62.6,12.1,1.72,0.61,1.12
120,2,기타,천호,44.0,6.2,1.83,0.79,1.04
119,2,기타,장안동,32.3,10.2,2.06,0.63,1.42
118,2,기타,잠실새내역,37.2,9.4,1.81,0.66,1.15
117,2,기타,잠실송파,43.6,11.1,1.91,0.55,1.37
116,2,기타,이태원,58.5,18.7,1.6,0.5,1.1
115,2,기타,용산역,25.0,12.8,1.63,0.53,1.1
114,2,기타,왕십리,41.9,2.9,2.11,0.76,1.35
113,2,기타,오류동역,49.5,4.6,1.68,0.96,0.72
112,2,기타,연신내,44.1,3.2,1.62,0.85,0.77
111,2,기타,신림역,66.0,4.0,2.21,0.86,1.35
109,2,기타,수유,49.8,4.2,2.42,0.89,1.53
107,2,기타,서울대입구역,76.9,7.0,2.23,0.96,1.27
121,2,기타,청량리,46.4,7.9,2.01,0.72,1.29
106,2,기타,상계역,27.0,0.9,2.38,0.83,1.55
100,2,기타,독산시흥,28.9,10.6,1.92,0.68,1.24
123,2,기타,화곡,34.5,10.8,2.07,0.87,1.2
65,2,도심(시내),남대문,77.0,12.6,1.91,0.79,1.13
98,2,기타,군자,34.9,5.7,2.08,0.71,1.37
99,2,기타,노량진,49.0,7.0,2.05,0.87,1.19
95,2,기타,건대입구,69.4,3.0,2.3,0.66,1.64
101,2,기타,뚝섬,36.9,1.3,3.04,0.59,2.45
103,2,기타,미아사거리,41.2,5.5,2.2,0.84,1.36
104,2,기타,불광역,35.7,11.1,1.59,0.86,0.73
105,2,기타,사당,60.1,6.1,1.83,0.8,1.02
102,2,기타,목동,32.8,3.1,2.1,0.84,1.26
26,1,영등포신촌지역,동교연남,41.5,4.3,1.78,0.69,1.09
20,1,강남,양재역,41.7,8.3,2.08,0.72,1.36
21,1,강남,청담,57.5,16.3,1.99,0.57,1.42
22,1,강남,테헤란로,50.2,15.7,2.1,0.69,1.41
24,1,영등포신촌지역,공덕역,36.1,5.5,2.0,0.81,1.19
25,1,영등포신촌지역,당산역,30.3,12.9,1.84,0.71,1.13
28,1,영등포신촌지역,신촌이대,58.0,13.3,1.84,0.73,1.11
27,1,영등포신촌지역,망원역,32.7,3.0,1.6,0.72,0.88
29,1,영등포신촌지역,영등포,40.6,13.3,1.82,0.74,1.08
30,1,영등포신촌지역,홍대합정,70.9,13.1,1.79,0.66,1.13
17,1,강남,신사역,82.7,11.5,1.56,0.6,0.97
16,1,강남,서래마을,44.2,9.1,1.54,0.75,0.79
19,1,강남,양재말죽거리,38.1,6.9,2.04,0.69,1.35
12,1,강남,교대역,29.1,8.3,1.66,0.72,0.94
3,1,도심(시내),남대문,77.4,10.5,1.64,0.81,0.83
